Checkin Date,2015-08-12,2015-08-12,2015-08-12,2015-08-12,2015-08-13,2015-08-13,2015-08-13,2015-08-13,2015-08-19,2015-08-19,2015-08-19,2015-08-19,2015-08-26,2015-08-26,2015-08-26,2015-08-26,2015-08-27,2015-08-27,2015-08-27,2015-08-27,2015-08-28,2015-08-28,2015-08-28,2015-08-28,2015-09-09,2015-09-09,2015-09-09,2015-09-09,2015-09-10,2015-09-10,2015-09-10,2015-09-10,2015-09-11,2015-09-11,2015-09-11,2015-09-11,2015-09-16,2015-09-16,2015-09-16,2015-09-16,2015-09-17,2015-09-17,2015-09-17,2015-09-17,2015-09-18,2015-09-18,2015-09-18,2015-09-18,2015-09-30,2015-09-30,2015-09-30,2015-09-30,2015-10-01,2015-10-01,2015-10-01,2015-10-01,2015-10-02,2015-10-02,2015-10-02,2015-10-02,2015-10-07,2015-10-07,2015-10-07,2015-10-07,2015-10-14,2015-10-14,2015-10-14,2015-10-14,2015-10-15,2015-10-15,2015-10-15,2015-10-15,2015-10-16,2015-10-16,2015-10-16,2015-10-16,2015-10-21,2015-10-21,2015-10-21,2015-10-21,2015-10-22,2015-10-22,2015-10-22,2015-10-22,2015-10-27,2015-10-27,2015-10-27,2015-10-27,2015-10-28,2015-10-28,2015-10-28,2015-10-28,2015-10-29,2015-10-29,2015-10-29,2015-10-29,2015-10-30,2015-10-30,2015-10-30,2015-10-30,2015-11-03,2015-11-03,2015-11-03,2015-11-03,2015-11-04,2015-11-04,2015-11-04,2015-11-04,2015-11-05,2015-11-05,2015-11-05,2015-11-05,2015-11-06,2015-11-06,2015-11-06,2015-11-06,2015-11-07,2015-11-07,2015-11-07,2015-11-07,2015-11-10,2015-11-10,2015-11-10,2015-11-10,2015-11-11,2015-11-11,2015-11-11,2015-11-11,2015-11-12,2015-11-12,2015-11-12,2015-11-12,2015-11-13,2015-11-13,2015-11-13,2015-11-13,2015-11-18,2015-11-18,2015-11-18,2015-11-18,2015-11-20,2015-11-20,2015-11-20,2015-11-20,2015-11-21,2015-11-21,2015-11-21,2015-11-21,2015-11-26,2015-11-26,2015-11-26,2015-11-26,2015-11-27,2015-11-27,2015-11-27,2015-11-27,2015-11-28,2015-11-28,2015-11-28,2015-11-28
Discount Code,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
Aloft Harlem,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,10,0,-1,-1,-1,-1,14,14,14,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,32,-1,-1,-1,-1,-1,-1,-1,51,61,71,-1,-1,53,-1,71,-1,32,-1,-1,-1,-1,-1,-1,-1,45,-1,34,-1,47,-1,-1,-1,43,-1,-1,42,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,82,-1,-1,-1,21,-1,-1,-1,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Andaz 5th Avenue - a concept by Hyatt,-1,-1,20,-1,-1,-1,-1,0,-1,-1,-1,42,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,99,-1,62,-1,-1,-1,52,73,67,-1,-1,-1,79,87,48,59,64,96,39,74,52,42,-1,71,73,-1,52,63,96,89,50,-1,70,57,-1,78,-1,-1,-1,68,-1,-1,72,-1,-1,-1,53,-1,89,-1,-1,64,-1,-1,45,-1,-1,-1,-1,-1,-1,-1,48,49,-1,-1,48,89,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,44,64,65,53,40,-1,-1,-1,45,-1,-1,42,-1,-1,78,73,-1,-1,-1,-1,-1,40,64,-1,44,33,42,45,33,34,31,55,-1,-1,-1,-1,2,-1,26,4,-1,10,9,0,43,-1,52,-1,-1,89,45,69,96,51,78,100
Andaz Wall Street - a concept by Hyatt,22,20,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,-1,-1,59,38,39,-1,-1,-1,-1,-1,-1,-1,-1,50,52,51,-1,52,54,50,50,-1,-1,38,100,-1,41,-1,32,-1,-1,40,-1,76,-1,79,-1,37,54,53,-1,-1,32,-1,50,-1,-1,-1,-1,54,39,54,60,44,47,45,47,-1,60,-1,65,40,31,49,57,41,45,47,-1,51,50,34,-1,67,55,62,69,-1,34,50,-1,32,31,28,-1,32,-1,-1,20,-1,-1,34,-1,-1,21,32,37,5,19,26,-1,21,24,19,8,29,49,30,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,1,0,2,18,23,9,7,62,29,22,46,44,34,-1,-1
Baccarat Hotel and Residences New York,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,10,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,85,85,35,-1,-1,-1,-1
Bentley Hotel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,-1,-1,-1,-1,-1,30,30,29,29,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,59,-1,-1,47,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,18,18,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,6,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1
Best Western Bayside Inn,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,96,-1,-1,85,-1,-1,74,-1,-1,-1,-1,84,71,-1,-1,83,-1,-1,-1,52,-1,-1,-1,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,-1,-1,-1,-1,-1,-1,-1,29,51,-1,-1,-1,-1,-1,-1,-1,51,-1,29,40,8,-1,-1,69,58,-1,-1,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,30,0,-1,-1,25,70,-1,18,44,66,-1,-1,-1,-1,-1
Best Western Bowery Hanbee Hotel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,65,-1,-1,72,65,-1,-1,77,-1,-1,-1,-1,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,76,82,100,-1,-1,-1,-1,-1,-1,58,57,-1,-1,77,77,-1,-1,-1,68,-1,-1,-1,68,-1,-1,-1,-1,-1,-1,-1,70,-1,68,70,66,-1,-1,77,77,-1,-1,-1,68,-1,-1,-1,-1,-1,-1,48,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,11,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,15
Best Western Plus Arena Hotel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,-1,-1,-1,-1,-1,-1,69,100,-1,-1,86,71,67,-1,-1,-1,-1,-1,-1,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,-1,-1,29,0,-1,-1
Best Western Plus Newark Airport West,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,26,-1,-1,47,-1,-1,-1,52,-1,-1,-1,-1,-1,-1,38,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,-1,-1,-1,-1,-1,-1,-1,45,-1,-1,-1,-1,35,24,-1,-1,24,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,20,-1,-1,8,20,-1,-1,-1,18,-1,-1
Blakely New York,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86,81,64,86,64,75,81,64,77,77,73,77,82,82,100,82,-1,-1,-1,-1,82,82,82,82,-1,-1,90,-1,-1,81,92,-1,-1,-1,-1,-1,38,-1,38,35,-1,-1,-1,-1,-1,39,39,38,39,39,39,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,8,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cassa Hotel 45th Street,26,31,39,41,19,48,25,33,17,21,28,27,13,20,14,33,13,-1,8,8,-1,8,25,-1,-1,-1,66,71,-1,61,61,69,68,58,-1,-1,-1,72,75,75,56,50,61,99,-1,48,-1,-1,-1,-1,-1,-1,-1,81,69,86,-1,53,68,81,-1,100,90,100,58,68,98,74,55,64,65,76,-1,32,-1,-1,81,83,90,97,70,71,49,-1,-1,51,66,-1,58,52,87,81,24,-1,68,-1,-1,58,-1,-1,-1,64,15,71,-1,42,66,28,23,71,34,69,-1,16,-1,-1,17,45,-1,-1,-1,45,3,-1,44,21,22,34,16,15,21,-1,20,16,37,-1,20,2,4,38,-1,3,9,-1,0,7,9,-1,46,15,14,-1,36,28,-1,-1,23,-1,-1,-1
Chelsea Inn,-1,-1,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,24,24,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,92,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,-1,-1,-1,-1,81,-1,-1,-1,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,8,0,-1
Comfort Inn Times Square South Area,47,51,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,64,64,-1,-1,84,-1,74,-1,-1,-1,-1,-1,93,-1,-1,84,86,-1,-1,80,100,92,-1,88,88,85,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,-1,-1,53,79,65,66,39,38,-1,-1,50,46,46,46,48,47,48,48,-1,-1,-1,-1,49,52,47,44,-1,39,37,-1,-1,29,-1,-1,12,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,53,53,53,53,-1,47,49,-1,-1,-1,43,32
Conrad New York,-1,32,31,46,38,30,26,33,17,19,27,35,21,23,31,-1,36,28,23,21,35,-1,34,-1,-1,-1,68,-1,-1,57,-1,-1,89,77,-1,-1,-1,-1,-1,-1,-1,-1,75,74,67,58,53,74,-1,-1,-1,100,-1,-1,96,100,73,63,53,78,-1,-1,86,98,47,56,65,-1,-1,69,59,48,80,69,59,-1,-1,-1,-1,100,-1,90,96,100,-1,57,60,68,51,57,61,82,-1,76,69,-1,74,81,67,-1,-1,-1,75,89,-1,58,73,-1,-1,21,15,9,69,63,45,54,74,64,65,-1,-1,63,68,74,62,35,54,71,-1,62,45,30,69,63,69,-1,26,35,51,60,-1,-1,-1,-1,-1,1,0,5,-1,-1,48,66,84,67,72,75,72,64,74,-1
Courtyard New York Manhattan Times Square West,83,-1,-1,-1,-1,-1,-1,-1,0,8,90,-1,32,41,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
